"age","m_f","ritmo_promedio_30k","official_time_min"
37,"M",3.91166666666667,163.883333333333
23,"M",3.79555555555556,163.916666666667
27,"M",3.66055555555556,163.933333333333
28,"M",3.90277777777778,163.933333333333
49,"M",3.91111111111111,163.933333333333
39,"M",3.84166666666667,163.95
45,"M",3.81444444444444,163.966666666667
43,"M",3.91666666666667,163.983333333333
45,"M",3.84888888888889,163.983333333333
31,"M",3.83611111111111,164
32,"M",3.86222222222222,164.016666666667
23,"M",3.85888888888889,164.016666666667
47,"M",3.96333333333333,164.033333333333
34,"M",3.83555555555556,164.05
28,"M",3.87611111111111,164.066666666667
26,"M",3.85833333333333,164.066666666667
25,"M",3.84722222222222,164.083333333333
28,"M",3.71,164.083333333333
24,"M",3.83666666666667,164.1
36,"M",3.84666666666667,164.116666666667
25,"M",3.78333333333333,164.133333333333
34,"M",3.84666666666667,164.15
30,"M",3.84222222222222,164.166666666667
35,"M",3.88166666666667,164.166666666667
39,"M",3.83944444444444,164.216666666667
30,"M",3.71277777777778,164.25
32,"M",3.86722222222222,164.25
30,"M",3.88666666666667,164.266666666667
27,"M",3.89666666666667,164.283333333333
23,"M",3.88388888888889,164.35
39,"M",3.90777777777778,164.35
28,"M",3.87888888888889,164.366666666667
29,"M",3.89722222222222,164.416666666667
23,"M",3.88722222222222,164.433333333333
33,"M",3.89944444444444,164.433333333333
42,"M",3.89666666666667,164.45
32,"F",3.88111111111111,164.466666666667
26,"M",3.88944444444444,164.483333333333
40,"M",3.89611111111111,164.5
35,"M",3.73722222222222,164.516666666667
24,"M",3.66,164.516666666667
26,"M",3.68611111111111,164.533333333333
30,"M",3.79222222222222,164.55
20,"M",3.92055555555556,164.55
48,"M",3.87444444444444,164.55
33,"M",3.86111111111111,164.55
25,"M",3.83888888888889,164.55
29,"M",3.85444444444444,164.566666666667
20,"M",3.91333333333333,164.6
30,"M",3.86833333333333,164.666666666667
42,"M",3.89722222222222,164.666666666667
33,"M",3.85333333333333,164.7
21,"M",3.90944444444444,164.75
28,"M",3.87111111111111,164.766666666667
35,"M",3.92777777777778,164.766666666667
38,"M",3.82611111111111,164.783333333333
33,"M",3.93555555555556,164.8
32,"M",3.85055555555556,164.85
35,"M",3.84055555555556,164.9
29,"M",3.85444444444444,164.916666666667
36,"M",3.90777777777778,164.933333333333
23,"F",3.93277777777778,164.933333333333
31,"M",3.67277777777778,164.95
38,"M",3.92,164.966666666667
36,"M",3.89722222222222,164.983333333333
27,"M",3.88388888888889,164.983333333333
47,"M",3.88055555555556,164.983333333333
27,"M",3.89722222222222,165
22,"M",3.85666666666667,165
29,"M",3.90333333333333,165
42,"M",3.86111111111111,165
24,"M",3.91111111111111,165.016666666667
47,"M",3.86777777777778,165.033333333333
34,"M",3.88055555555556,165.033333333333
41,"M",3.84833333333333,165.05
37,"M",3.84555555555556,165.083333333333
40,"M",3.83444444444444,165.083333333333
34,"M",3.88777777777778,165.133333333333
30,"M",3.92777777777778,165.15
21,"M",3.86333333333333,165.15
24,"M",3.77111111111111,165.183333333333
35,"M",3.88888888888889,165.216666666667
29,"M",3.93444444444444,165.216666666667
21,"M",3.85555555555556,165.216666666667
19,"M",3.80444444444444,165.233333333333
43,"M",3.78111111111111,165.25
30,"M",3.875,165.283333333333
42,"M",3.88944444444444,165.283333333333
30,"M",3.94111111111111,165.3
33,"M",3.93388888888889,165.35
34,"M",3.86611111111111,165.366666666667
28,"M",3.87277777777778,165.383333333333
37,"M",3.87722222222222,165.4
28,"M",3.91055555555556,165.4
39,"M",3.89333333333333,165.416666666667
35,"M",3.87444444444444,165.466666666667
25,"M",3.86944444444444,165.483333333333
37,"M",3.90277777777778,165.5
30,"M",3.91277777777778,165.5
24,"M",3.77722222222222,165.5
26,"M",3.86388888888889,165.5
26,"M",3.89833333333333,165.5
27,"M",3.78777777777778,165.516666666667
42,"M",3.90555555555556,165.516666666667
48,"M",3.87,165.516666666667
31,"M",3.68722222222222,165.55
29,"M",3.88333333333333,165.583333333333
49,"M",3.83611111111111,165.6
39,"M",3.89722222222222,165.616666666667
33,"M",3.84722222222222,165.633333333333
38,"M",3.90388888888889,165.65
35,"M",3.95222222222222,165.666666666667
26,"M",3.90055555555556,165.683333333333
37,"M",3.755,165.683333333333
31,"M",3.90611111111111,165.7
32,"M",3.88388888888889,165.75
37,"M",3.82444444444444,165.766666666667
23,"M",3.90666666666667,165.766666666667
26,"M",3.91,165.783333333333
40,"M",3.92055555555556,165.8
33,"M",3.93777777777778,165.816666666667
52,"M",3.91611111111111,165.816666666667
26,"M",3.885,165.833333333333
30,"M",3.835,165.833333333333
29,"M",3.89944444444444,165.85
26,"M",3.87666666666667,165.866666666667
35,"M",3.91166666666667,165.9
32,"M",3.79833333333333,165.9
40,"M",3.84333333333333,165.916666666667
38,"M",3.87555555555556,165.933333333333
32,"M",3.91111111111111,165.933333333333
32,"M",3.88111111111111,165.95
35,"M",3.86055555555556,166.016666666667
48,"M",3.86944444444444,166.016666666667
30,"M",3.90611111111111,166.033333333333
25,"M",3.94833333333333,166.066666666667
26,"M",3.73333333333333,166.083333333333
46,"M",3.93833333333333,166.1
45,"M",3.88833333333333,166.1
25,"M",3.90277777777778,166.116666666667
40,"M",3.88333333333333,166.116666666667
25,"M",3.87277777777778,166.116666666667
39,"M",3.945,166.133333333333
41,"M",3.81388888888889,166.133333333333
19,"M",3.89333333333333,166.166666666667
37,"M",3.89944444444444,166.166666666667
40,"M",3.89888888888889,166.183333333333
34,"M",3.87111111111111,166.183333333333
45,"M",3.86833333333333,166.2
48,"M",3.85555555555556,166.2
39,"M",3.91222222222222,166.2
42,"M",3.96333333333333,166.216666666667
38,"M",3.91333333333333,166.233333333333
26,"M",3.86222222222222,166.233333333333
37,"M",3.89944444444444,166.25
27,"M",3.91111111111111,166.266666666667
39,"M",3.90333333333333,166.266666666667
25,"M",3.85777777777778,166.283333333333
27,"M",3.79277777777778,166.3
38,"M",3.87,166.316666666667
47,"M",4.005,166.366666666667
34,"F",3.95944444444444,166.366666666667
56,"M",3.93555555555556,166.383333333333
46,"M",3.83055555555556,166.4
27,"M",3.87277777777778,166.4
27,"M",3.83055555555556,166.4
26,"M",3.84722222222222,166.433333333333
51,"M",3.87666666666667,166.45
34,"M",3.89166666666667,166.45
24,"M",3.98055555555556,166.516666666667
44,"M",3.91,166.55
45,"M",3.91611111111111,166.566666666667
26,"F",3.84888888888889,166.566666666667
29,"M",3.71944444444444,166.583333333333
29,"M",3.90555555555556,166.583333333333
32,"M",3.565,166.6
50,"M",3.90055555555556,166.6
38,"M",3.89944444444444,166.633333333333
44,"M",3.88555555555556,166.633333333333
29,"M",3.96944444444444,166.65
24,"M",3.81944444444444,166.65
37,"M",3.88388888888889,166.65
34,"M",3.87055555555556,166.666666666667
29,"M",3.95444444444444,166.666666666667
25,"M",3.89388888888889,166.666666666667
39,"M",3.91666666666667,166.683333333333
23,"M",3.72277777777778,166.683333333333
25,"M",3.72055555555556,166.683333333333
29,"M",3.825,166.683333333333
35,"M",3.88777777777778,166.733333333333
45,"F",3.90444444444444,166.733333333333
32,"M",3.99722222222222,166.75
31,"M",3.95388888888889,166.8
28,"M",3.85277777777778,166.833333333333
23,"M",3.86055555555556,166.85
30,"M",3.90333333333333,166.866666666667
29,"M",3.90222222222222,166.866666666667
37,"M",3.88944444444444,166.9
39,"M",3.83833333333333,166.916666666667
27,"M",3.84111111111111,166.916666666667
26,"M",3.90777777777778,166.916666666667
39,"M",3.93611111111111,166.95
37,"M",3.97166666666667,166.95
31,"M",3.90444444444444,166.966666666667
28,"M",3.79666666666667,167.016666666667
40,"M",3.90277777777778,167.033333333333
29,"M",3.96,167.033333333333
31,"M",3.80666666666667,167.066666666667
22,"M",3.795,167.066666666667
39,"M",3.88166666666667,167.066666666667
37,"M",3.90388888888889,167.066666666667
24,"M",3.78,167.083333333333
27,"M",3.93833333333333,167.133333333333
39,"M",3.79222222222222,167.133333333333
22,"M",3.96055555555556,167.133333333333
47,"M",3.96666666666667,167.133333333333
25,"M",3.765,167.15
27,"M",3.91833333333333,167.15
34,"M",3.83722222222222,167.183333333333
45,"M",3.91444444444444,167.183333333333
51,"M",3.92388888888889,167.2
34,"M",3.96444444444444,167.2
44,"M",3.85555555555556,167.2
44,"M",3.94444444444444,167.216666666667
22,"M",3.88055555555556,167.233333333333
19,"M",3.94555555555556,167.233333333333
24,"M",3.95833333333333,167.233333333333
26,"M",4.02555555555556,167.25
24,"F",3.97333333333333,167.25
32,"M",3.90777777777778,167.25
